   Step   Time    Walltime(s) Profile
2500000  12.5000     6.1135   ▂▂▂▂▂▂▃▃▃▄▄▄▅▅▆▆▆▇▇▇████████▇▇▇▆▆▆▅▅▄▄▄▃▃▃▂▂▂▂▂▂
3000000  15.0000     7.3361   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▃▃▃▃▃▂▂▂
3500000  17.5000     8.5500   ▃▃▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▃▃
4000000  20.0000     9.7767   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
4500000  22.5000    11.0162   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇████████████▇▇▇▇▆▆▆▆▅▅▅▅▄▄▄▄▄▄
5000000  25.0000    12.2403   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
5500000  27.5000    13.4662   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇██████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅
6000000  30.0000    14.6730   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
6500000  32.5000    15.8845   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇████████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆
7000000  35.0000    17.0868   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
7500000  37.5000    18.3015   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇██████████████████▇▇▇▇▇▇▇▇▇▆▆▆▆▆▆
8000000  40.0000    19.5213   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇███████████████████▇▇▇▇▇▇▇▇▇▇▇▇▆▆▆
8500000  42.5000    20.7545   ▇▇▇▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
9000000  45.0000    21.9687   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
9500000  47.5000    23.1858   ▇▇▇▇▇▇▇▇▇▇▇▇████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
10000000  50.0000    24.4170   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
10500000  52.5000    25.6541   ▇▇▇▇▇▇▇▇███████████████████████████████▇▇▇▇▇▇▇▇▇
11000000  55.0000    26.8812   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
11500000  57.5000    28.1210   ▇▇▇██████████████████████████████████████████▇▇▇
12000000  60.0000    29.3382   ████████████████████████████████████████████████
12500000  62.5000    30.5559   ████████████████████████████████████████████████
13000000  65.0000    31.7582   ████████████████████████████████████████████████
13500000  67.5000    32.9774   ████████████████████████████████████████████████
14000000  70.0000    34.1870   ████████████████████████████████████████████████
